pairID,sentenceID,isCorrect,isPun,relatedness,order,wordOrder,condition,workderID,age,gender,native,word1,word2
1,1,0,0,-0.801810907717901,81,0,1,A2EEUQ0YY2XIU,45,M,English,atheism,prophet
5,2,1,0,-0.20487912783959,99,0,1,A2EEUQ0YY2XIU,45,M,English,large,pie
9,3,0,0,2.18284799167366,108,0,1,A2EEUQ0YY2XIU,45,M,English,bread,knead
8,3,1,0,-0.20487912783959,12,1,1,A2EEUQ0YY2XIU,45,M,English,basis,need
18,5,0,0,-0.801810907717901,1,1,1,A2EEUQ0YY2XIU,45,M,English,emotional,tier
17,5,1,0,-0.801810907717901,72,0,1,A2EEUQ0YY2XIU,45,M,English,cake,tear
24,6,0,0,-0.801810907717901,102,1,1,A2EEUQ0YY2XIU,45,M,English,flag,poll
26,7,1,0,1.8843821017345,7,1,1,A2EEUQ0YY2XIU,45,M,English,chairman,board
34,9,0,0,-0.20487912783959,85,0,1,A2EEUQ0YY2XIU,45,M,English,always,sine
39,9,1,0,1.8843821017345,73,1,1,A2EEUQ0YY2XIU,45,M,English,trigonometry,sign
41,10,0,0,-0.503345017778746,45,1,1,A2EEUQ0YY2XIU,45,M,English,john,principal
45,11,1,0,-0.801810907717901,62,0,1,A2EEUQ0YY2XIU,45,M,English,store,seedy
50,12,0,0,-0.801810907717901,41,0,1,A2EEUQ0YY2XIU,45,M,English,pulled,hare
54,13,1,0,0.690518541977877,89,1,1,A2EEUQ0YY2XIU,45,M,English,pine,naughty
57,14,0,0,-0.801810907717901,23,0,1,A2EEUQ0YY2XIU,45,M,English,learn,taut
62,15,1,0,0.690518541977877,79,1,1,A2EEUQ0YY2XIU,45,M,English,drop,mark
65,16,0,0,-0.801810907717901,27,1,1,A2EEUQ0YY2XIU,45,M,English,boy,hi
68,16,1,0,-0.801810907717901,40,0,1,A2EEUQ0YY2XIU,45,M,English,people,high
75,17,0,0,-0.801810907717901,103,0,1,A2EEUQ0YY2XIU,45,M,English,time,daze
73,17,1,0,-0.20487912783959,6,1,1,A2EEUQ0YY2XIU,45,M,English,school,day
80,19,0,0,-0.801810907717901,87,0,1,A2EEUQ0YY2XIU,45,M,English,eat,plane
83,19,1,0,-0.801810907717901,80,0,1,A2EEUQ0YY2XIU,45,M,English,fly,plain
88,20,0,0,-0.801810907717901,51,1,1,A2EEUQ0YY2XIU,45,M,English,last,dam
89,20,1,0,-0.801810907717901,90,1,1,A2EEUQ0YY2XIU,45,M,English,movie,damn
97,22,0,0,-0.801810907717901,19,1,1,A2EEUQ0YY2XIU,45,M,English,great,role
100,23,0,0,1.58591621179534,16,1,1,A2EEUQ0YY2XIU,45,M,English,id,collar
101,23,1,0,0.690518541977877,36,1,1,A2EEUQ0YY2XIU,45,M,English,man,caller
111,25,0,0,1.8843821017345,33,0,1,A2EEUQ0YY2XIU,45,M,English,hair,dye
108,25,1,0,0.690518541977877,67,0,1,A2EEUQ0YY2XIU,45,M,English,actress,die
115,26,1,0,-0.801810907717901,91,0,1,A2EEUQ0YY2XIU,45,M,English,belt,waste
121,27,0,0,2.18284799167366,96,1,1,A2EEUQ0YY2XIU,45,M,English,shoe,foot
125,28,1,0,-0.20487912783959,111,0,1,A2EEUQ0YY2XIU,45,M,English,want,allow
126,29,0,0,2.18284799167366,77,0,1,A2EEUQ0YY2XIU,45,M,English,bucket,pail
134,30,1,0,-0.801810907717901,115,0,1,A2EEUQ0YY2XIU,45,M,English,man,manner
140,31,0,0,-0.503345017778746,93,1,1,A2EEUQ0YY2XIU,45,M,English,poker,cache
141,31,1,0,-0.801810907717901,114,1,1,A2EEUQ0YY2XIU,45,M,English,suddenly,cash
145,32,0,0,-0.503345017778746,13,1,1,A2EEUQ0YY2XIU,45,M,English,place,reign
151,33,1,0,-0.801810907717901,32,1,1,A2EEUQ0YY2XIU,45,M,English,herb,time
153,34,0,0,-0.801810907717901,56,1,1,A2EEUQ0YY2XIU,45,M,English,bad,pore
159,35,1,0,0.392052652038721,47,1,1,A2EEUQ0YY2XIU,45,M,English,people,guilt
161,37,0,0,1.8843821017345,86,1,1,A2EEUQ0YY2XIU,45,M,English,boy,son
162,37,1,0,0.690518541977877,83,0,1,A2EEUQ0YY2XIU,45,M,English,down,sun
170,38,0,0,1.58591621179534,42,1,1,A2EEUQ0YY2XIU,45,M,English,singer,c
173,39,1,0,0.690518541977877,61,1,1,A2EEUQ0YY2XIU,45,M,English,electrician,what
181,40,0,0,-0.801810907717901,50,1,1,A2EEUQ0YY2XIU,45,M,English,want,razor
